31434;8810;WOLM;MS;D'Iberville;Radio Maria, Inc.;1000;30.443611;-88.848333
31543;8810;WOPR;NC;Madison;Church Planters of America;100;29.116667;-82.332500
31917;8810;WPEB;PA;Philadelphia;Scribe Video Center, Inc.;10;39.94825;-75.21875
32279;8810;WPRZ;VA;Brandy Station;Praise Communications, Inc.;10000;38.511667;-78.056111
32313;8810;WPTH;IL;Olney;VCY America Inc;2900;38.697222;-88.036944
33060;8810;WQWA;WI;Columbus;;100;43.370556;-89.053333
33305;8810;WRFL;KY;Lexington;Board of Trustees, University of Kentucky;7900;38.038611;-84.504444
33333;8810;WRGN;PA;Sweet Valley;Good News For Life;500;41.298333;-76.124444
33335;8810;WRGP;FL;Homestead;Florida International University Board of Trustees;165;25.540000;-80.468611
33379;8810;WRIH;VA;Richmond;AMERICAN FAMILY ASSOCIATION;5000;37.715000;-77.365278
33398;8810;WRJA;SC;Sumter;South Carolina Educational Television Commission;98000;33.881111;-80.270556
33416;8810;WRJS;GA;Soperton;Grace Missionary Baptist Church, Inc.;12000;32.355556;-82.618611
33601;8810;WRQV;PA;Ridgway;Invisible Allies Ministries;2100;41.247;-78.64722
33645;8810;WRSN;TN;Lebanon;Risen Radio;185;36.293333;-86.257500
33783;8810;WRQV;PA;Ridgway;Invisible Allies Ministries;2100;41.247;-78.64722
33871;8810;WSBF;SC;Clemson;Clemson University Board of Trustees;3000;34.678333;-82.820833
33933;8810;WSDP;MI;Plymouth;Plymouth-Canton Community Schools;;;
33985;8810;WSFP;MI;Harrisville;Michigan Community Radio;18000;44.703333;-83.524167
34085;8810;WSJL;AL;Bessemer;Elijah Radio, Inc.;6000;33.39594;-87.01861
34151;8810;WSLZ;NY;Cape Vincent;St. Lawrence University;2000;44.11617;-76.33883
34157;8810;WSMF;MI;Monroe;Northland Community Broadcasters;1200;41.918889;-83.376111
34210;8810;WSOG;IL;Spring Valley;Spirit Educational Association, Inc.;4000;41.29225;-89.13314
34269;8810;WSQN;NY;Greene;WSKG Public Telecommunications Council;;42.437;-75.5135
34284;8810;WSRC;IN;Waynetown;Calvary Chapel of Crawfordsville;17000;40.150000;-86.903889
34302;8810;WSRU;PA;Slippery Rock;Slippery Rock Student Government Association, Inc.;;;
34698;8810;WTHA;NJ;Berlin;Bux-Mont Educational Radio Association;1;39.72817;-74.84378
34969;8810;WTRL;KY;Hodgenville;;750;37.481944;-85.688056
34977;8810;WTRT;KY;Benton;Pennyrile Christian Community, Inc.;2300;36.81003;-88.35919
35000;8810;WTSQ;WV;;;;;
35174;8810;WTZI;IL;Rosemont;RadioEd;300;41.95558;-87.86728
35218;8810;WUBA;FL;High Springs;;110;29.809167;-82.607222
35227;8810;WUBJ;NY;Jamestown;Western New York Public Broadcasting Assoc;2700;42.17978;-79.34117
35228;8810;WUBK;SC;Enoree;RICHBURG EDUCATIONAL BROADCASTERS, INC.;;;
35636;8810;WURC;MS;Holly Springs;;3000;34.781389;-89.446944
35688;8810;WUTC;TN;Chattanooga;University of Tennessee;30000;35.207222;-85.281111
35769;8810;WUWF;FL;Pensacola;University of West Florida;100000;30.403611;-86.992778
